iter	Passed	Remaining
0	7	9256
1	13	8255
2	19	7821
3	25	7547
4	30	7401
5	36	7351
6	42	7313
7	48	7270
8	55	7309
9	61	7261
10	66	7182
11	71	7092
12	77	7034
13	82	7010
14	89	7045
15	95	7065
16	101	7029
17	106	6991
18	112	6976
19	117	6945
20	123	6931
21	128	6906
22	134	6904
23	140	6889
24	146	6873
25	152	6883
26	157	6860
27	163	6841
28	169	6836
29	175	6830
30	181	6849
31	187	6851
32	194	6876
33	200	6883
34	206	6880
35	213	6889
36	219	6885
37	225	6888
38	232	6913
39	238	6913
40	244	6910
41	250	6905
42	256	6904
43	262	6901
44	268	6898
45	275	6901
46	281	6895
47	286	6883
48	292	6863
49	297	6843
50	302	6823
51	308	6814
52	313	6782
53	318	6753
54	323	6744
55	329	6723
56	334	6705
57	339	6684
58	344	6670
59	350	6657
60	355	6639
61	360	6619
62	365	6601
63	370	6582
64	376	6568
65	381	6555
66	386	6536
67	391	6517
68	396	6491
69	401	6481
70	407	6471
71	411	6453
72	417	6441
73	422	6430
74	428	6424
75	433	6413
76	438	6395
77	443	6377
78	449	6375
79	454	6363
80	459	6351
81	465	6343
82	470	6329
83	476	6326
84	482	6322
85	487	6315
86	493	6307
87	499	6309
88	505	6308
89	511	6309
90	517	6312
91	524	6313
92	529	6303
93	535	6296
94	540	6286
95	545	6273
96	550	6258
97	555	6247
98	560	6233
99	565	6224
100	571	6216
101	576	6201
102	580	6187
103	585	6172
104	590	6159
105	595	6150
106	600	6138
107	606	6128
108	610	6114
109	616	6107
110	621	6100
111	626	6089
112	632	6089
113	638	6078
114	643	6068
115	649	6065
116	654	6054
117	659	6046
118	665	6041
119	670	6032
120	675	6025
121	680	6017
122	686	6008
123	691	5999
124	696	5992
125	702	5983
126	707	5978
127	713	5973
128	718	5968
129	724	5965
130	730	5959
131	734	5945
132	740	5936
133	745	5929
134	750	5919
135	756	5921
136	762	5913
137	766	5900
138	771	5890
139	776	5880
140	782	5876
141	787	5867
142	792	5857
143	797	5845
144	802	5837
145	807	5830
146	812	5823
147	817	5813
148	823	5808
149	828	5801
150	833	5792
151	839	5788
152	844	5779
153	849	5771
154	855	5766
155	860	5761
156	866	5756
157	872	5752
158	877	5742
159	882	5736
160	888	5733
161	893	5723
162	898	5718
163	903	5710
164	908	5700
165	914	5698
166	919	5690
167	924	5681
168	930	5676
169	935	5668
170	940	5660
171	947	5659
172	951	5650
173	956	5642
174	962	5637
175	967	5629
176	973	5626
177	979	5624
178	985	5618
179	990	5612
180	996	5607
181	1001	5599
182	1006	5592
183	1012	5588
184	1017	5582
185	1023	5578
186	1028	5571
187	1033	5563
188	1039	5558
189	1044	5552
190	1049	5545
191	1055	5542
192	1061	5540
193	1067	5537
194	1073	5531
195	1079	5527
196	1084	5522
197	1090	5519
198	1096	5517
199	1103	5516
200	1108	5511
201	1114	5505
202	1120	5502
203	1125	5497
204	1131	5490
205	1137	5486
206	1142	5480
207	1148	5476
208	1154	5473
209	1161	5473
210	1166	5469
211	1172	5463
212	1179	5463
213	1185	5460
214	1190	5453
215	1196	5449
216	1202	5448
217	1209	5446
218	1214	5438
219	1219	5434
220	1226	5431
221	1231	5427
222	1237	5420
223	1242	5414
224	1247	5407
225	1253	5404
226	1259	5398
227	1264	5391
228	1270	5385
229	1275	5381
230	1281	5377
231	1286	5369
232	1292	5364
233	1297	5358
234	1303	5351
235	1309	5350
236	1315	5344
237	1321	5341
238	1328	5340
239	1334	5337
240	1340	5335
241	1346	5328
242	1352	5326
243	1358	5321
244	1364	5318
245	1369	5312
246	1375	5307
247	1381	5302
248	1386	5296
249	1392	5292
250	1399	5289
251	1404	5282
252	1409	5275
253	1414	5269
254	1419	5262
255	1425	5256
256	1431	5253
257	1436	5246
258	1442	5240
259	1448	5235
260	1453	5229
261	1459	5225
262	1465	5220
263	1470	5212
264	1475	5206
265	1481	5201
266	1486	5193
267	1492	5189
268	1497	5184
269	1502	5176
270	1508	5171
271	1513	5165
272	1518	5157
273	1524	5152
274	1530	5147
275	1535	5141
276	1541	5136
277	1547	5130
278	1551	5122
279	1557	5116
280	1562	5111
281	1567	5104
282	1573	5098
283	1578	5092
284	1584	5085
285	1590	5081
286	1595	5076
287	1600	5068
288	1606	5064
289	1612	5059
290	1617	5053
291	1623	5047
292	1629	5043
293	1634	5035
294	1639	5030
295	1645	5024
296	1650	5017
297	1656	5013
298	1661	5007
299	1666	4999
300	1672	4996
301	1678	4990
302	1683	4982
303	1689	4978
304	1694	4972
305	1700	4967
306	1706	4963
307	1711	4958
308	1717	4951
309	1722	4945
310	1728	4942
311	1733	4934
312	1739	4929
313	1744	4923
314	1749	4916
315	1756	4913
316	1762	4908
317	1767	4901
318	1772	4895
319	1778	4891
320	1784	4885
321	1789	4879
322	1795	4875
323	1800	4868
324	1805	4861
325	1811	4856
326	1816	4850
327	1821	4843
328	1827	4838
329	1832	4830
330	1838	4826
331	1844	4821
332	1848	4813
333	1854	4807
334	1859	4800
335	1864	4793
336	1869	4787
337	1874	4779
338	1879	4772
339	1884	4766
340	1890	4761
341	1895	4756
342	1901	4750
343	1906	4743
344	1911	4738
345	1917	4733
346	1923	4727
347	1928	4721
348	1934	4716
349	1939	4709
350	1945	4706
351	1951	4702
352	1956	4695
353	1962	4689
354	1967	4683
